ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly
2023-01-01,35880.139818956515,0.0,114682.7915663126,99778.49309560528,-0.5569768509373172,-0.08281093956470699
2023-01-02,133752.27280317186,52584.87793214784,213023.52073056632,99793.2351420984,0.42435818266890935,-0.08472945203367237
2023-01-03,100476.7098033354,22807.740378842715,183281.6202574009,99807.97718859155,0.09225433565241975,-0.08555414360784762
2023-01-04,109010.47773470392,28177.873202826042,186027.50461735565,99822.71923508466,0.17735825488135862,-0.08531749932969013
2023-01-05,127184.37084090478,51919.41289987523,202813.2260472424,99837.46128157781,0.35799068999875616,-0.08407637759252637
2023-01-06,122883.39274805371,47619.32912002253,204143.389391188,99852.20332807093,0.31256309396252724,-0.08191030261337384
2023-01-07,11338.20338442707,0.0,88715.3583644075,99866.94537456405,-0.8075477062299463,-0.07891919889164664
2023-01-08,36736.73603078944,0.0,117743.31021289638,99881.68742105718,-0.556976850935796,-0.07522063211308819
2023-01-09,135200.98132602943,60932.591056656354,217346.32768172768,99896.4294675503,0.42435818266946446,-0.07094663386183439
2023-01-10,102510.27446574102,25863.615119854876,182640.70684702272,99911.17151404342,0.0922543356513843,-0.06624019816994897
2023-01-11,111527.98250818532,27984.950432673122,187935.57521991976,99925.91356053656,0.17735825488061657,-0.06125154607759861
2023-01-12,130108.38514214459,56426.0239090017,207985.53164129276,99940.65560702968,0.3579906899995134,-0.056134259782209844
2023-01-13,126095.903519428,46529.7891300152,201341.01592340096,99955.39765352281,0.31256309396247045,-0.051041390487121405
2023-01-14,14628.695533020089,0.0,91875.83539448566,99970.13970001593,-0.8075477062311974,-0.04612164366751284
2023-01-15,40144.67059708224,0.0,120162.8527822662,99984.88174650905,-0.556976850935378,-0.04151574218624292
2023-01-16,139464.91255507982,59344.22303980331,215429.2043421974,99999.62379300219,0.42435818266719666,-0.037353061629054496
2023-01-17,105865.77752994582,26307.626161951335,183130.0803805071,100014.36583949531,0.09225433565146934,-0.033748623583655414
2023-01-18,114689.14719754361,40311.16496583589,184985.65967728576,100029.10788598844,0.17735825488082446,-0.03080052162317666
2023-01-19,132998.5790441503,53993.61938576197,206005.735331343,100043.84993248156,0.35799068999946176,-0.028587841809298208
2023-01-20,128614.7106740704,52753.53694108576,207461.6266729417,100058.59197897468,0.31256309396159826,-0.027169124984938803
2023-01-21,16599.253115697375,0.0,91384.89028024196,100073.33402546783,-0.8075477062303194,-0.026581402414417227
2023-01-22,41654.98870834907,0.0,118740.90213989867,100088.07607196095,-0.55697685093496,-0.026839819910025372
2023-01-23,139785.61068469496,62924.12120947859,216651.43600925794,100102.81811845406,0.42435818266867487,-0.027937848934580598
2023-01-24,106365.52354420535,32994.05007714577,183357.2928264939,100117.56016494721,0.09225433565155441,-0.02984806677160565
2023-01-25,114634.94244387107,29576.846173450227,193040.46199119094,100132.30221144033,0.17735825488094586,-0.032523472177090465
2023-01-26,132403.5461075914,56873.858619293314,208369.42563830153,100147.04425793346,0.35799068999981465,-0.035899288414564016
2023-01-27,127472.69036959969,45387.053488810416,201477.22232087734,100161.78630442658,0.31256309396532256,-0.03989519263451217
2023-01-28,14829.571689456328,0.0,92704.20621107248,100176.5283509197,-0.8075477062292088,-0.04441789955113785
2023-01-29,39441.20838592963,0.0,123827.50702661758,100191.27039741284,-0.5569768509345419,-0.049364018589475124
2023-01-30,137255.6910034272,55906.34792063302,210975.9853562566,100206.01244390596,0.4243581826683068,-0.05462309735831943
2023-01-31,103445.21445613091,27446.320453787186,179220.784481496,100220.7544903991,0.09225433565107927,-0.06008076060539645
2023-02-01,111435.45027963782,29798.71650325243,188354.71949704274,100235.49653689221,0.17735825488011742,-0.06562185280998431
2023-02-02,129007.74089523556,52442.89499914189,216829.78779252173,100250.23858338533,0.35799069000016737,-0.07113349426461273
2023-02-03,123933.0435818477,43336.23255955848,201973.9369988508,100264.98062987847,0.31256309396363513,-0.07650796481202916
2023-02-04,11111.690977907398,0.0,84590.24656774067,100279.72267637159,-0.8075477062283305,-0.08164533617997688
2023-02-05,35761.6931210296,0.0,119735.19102893096,100294.35251466697,-0.5569768509330206,-0.086455782865579
2023-02-06,133761.69395825113,57355.423032586266,209709.40074526562,100308.98235296238,0.42435818266886194,-0.09086151247459193
2023-02-07,100068.39561183107,23581.837816667587,175021.7591405037,100323.61219125775,0.09225433565307906,-0.094798268968998
2023-02-08,108279.19902433666,29638.95140196696,184696.36627477,100338.24202955316,0.17735825488023876,-0.09821637602965465
2023-02-09,126134.46673579644,50688.76362787939,201112.147728331,100352.87186784855,0.35799069000052025,-0.10108130227618241
2023-02-10,121363.31404933479,42158.720215452595,199823.90754282192,100367.50170614393,0.3125630939635783,-0.10337374495833528
2023-02-11,8769.689204835462,0.0,82400.29104247043,100382.13154443933,-0.8075477062295816,-0.10508924349534915
2023-02-12,33812.203661650325,0.0,116398.33315373216,100396.76138273471,-0.5569768509362879,-0.1062373484465915
2023-02-13,132293.79504982522,55746.833529629934,210746.84056620937,100411.3912210301,0.424358182669417,-0.10684038472740734
2023-02-14,98952.01571530393,23129.203399868173,174794.12965120416,100426.02105932549,0.09225433565148333,-0.1069318597480599
2023-02-15,107552.2183592967,26323.65095375442,185860.3001304487,100440.65089762089,0.17735825488053308,-0.10655457730456205
2023-02-16,125793.33356131156,49094.014642256145,202732.6424025232,100455.28073591627,0.3579906900004687,-0.10575852619809271
2023-02-17,121364.08282935071,39815.82545750036,206335.50365854186,100469.91057421165,0.3125630939627061,-0.10459861847224913
