date,ensemble,ensemble_lower,ensemble_upper,prophet,sklearn,xgboost,sarimax,day_of_week
2025-12-05,150010.40930620325,75699.99078446043,223890.80591174375,117978.29789970494,147691.22499000805,154263.609375,162357.01722855854,Friday
2025-12-06,38383.44304566562,13865.705505407279,96465.94494909213,127302.94758984252,21894.815784207767,12520.623046875,30526.11771262442,Saturday
2025-12-07,69923.2709753942,28893.202744801383,133284.18580652712,147783.07432584948,56236.19890776345,40891.40234375,67068.31289610978,Sunday
2025-12-08,158806.05750612557,80839.92302841191,236963.08999021514,142016.8917433763,154377.4735326004,168250.71875,162418.5019256258,Monday
2025-12-09,99322.93380323492,40259.9494377764,172058.13816323338,11257.541969398766,114523.7618373195,99172.5546875,126314.92393320064,Tuesday
2025-12-10,116942.45652314021,47309.385672434364,192577.27528108703,40036.53629860048,123367.41335241833,123782.4609375,140427.1643024873,Wednesday
2025-12-11,164401.7055195553,83835.3103425981,244757.37417073388,153939.44880078323,156159.02900189522,162598.359375,176061.26030061152,Thursday
2025-12-12,138682.8920404961,60504.97544380512,216150.83652081023,115051.27635723454,144949.22526408994,114972.3125,161270.90327396698,Friday
2025-12-13,36432.63807528051,12927.236728822536,102384.2204007429,124790.19702403308,24236.316307388253,2987.726806640625,31165.993551909512,Saturday
2025-12-14,74822.12299284546,31738.848178121727,146586.464462764,145719.59309159275,67941.69209513054,48967.83984375,67819.43155538976,Sunday
2025-12-15,165122.50702704204,76780.3508058808,252492.14623309905,140393.1388601485,160280.68676988332,187805.078125,162977.41421228263,Monday
2025-12-16,99243.82135334995,40345.244732709114,179235.43499711747,9965.818516280026,120869.90042135806,92407.2265625,126941.9052284098,Tuesday
2025-12-17,116252.27552122374,45954.53524305599,198985.11341380232,39209.00809031852,128909.29340277992,115272.4375,140929.9759485171,Wednesday
2025-12-18,164212.84898428468,76108.76223360983,252619.7622794499,153068.4800178264,157625.30335717782,160297.9375,176490.7621923322,Thursday
2025-12-19,148251.00113799333,61360.73594367414,237248.67759618745,115105.66957101451,163191.00585972174,134213.5,161811.49782117349,Friday
2025-12-20,38663.05717046534,13565.3125485907,112006.84881717694,125215.04829178232,25277.812926546503,9845.7587890625,31714.019993702128,Saturday
2025-12-21,72492.86570358738,29146.2634053109,151983.51322831298,146486.543350906,56221.39376117675,50143.03125,68367.93699473512,Sunday
2025-12-22,159824.57782083764,70352.02577089486,254153.3381414686,141437.4196787851,157996.1993766427,167504.53125,163525.092035312,Monday
2025-12-23,98405.97634219934,39621.936069989606,186255.70417056113,11134.057574157989,125673.93327963552,82783.7109375,127489.87614797652,Tuesday
2025-12-24,119240.78691672371,47811.00158821763,211133.6954318454,40598.32346352859,130689.62805827566,123846.1484375,141477.41220928714,Wednesday
2025-12-25,163920.3836019825,70274.45213640419,261545.70437679376,155276.90313144677,158959.66912225407,155702.6875,177037.88279057702,Thursday
2025-12-26,151437.71840153722,63602.498114440845,248863.98471488428,116831.08987714296,161091.10920139425,147258.375,162359.09677033487,Friday
2025-12-27,39945.516457371974,14858.4157979368,121617.5022271906,127031.35274024804,26783.550286088463,11613.392578125,32261.65094366115,Saturday
2025-12-28,72368.46789180487,30111.59869052961,159561.4419355322,148375.78511154838,55348.28999021471,48618.3125,68915.570007197,Sunday
2025-12-29,168044.30079086672,75985.9715775683,271992.6135934582,143355.40322601068,156378.55740003265,200083.59375,164072.72148416276,Monday
2025-12-30,115775.57884267236,52012.681047252125,215126.42849802907,12956.95173305312,147977.79879094812,128097.8359375,128037.50685886388,Tuesday
2025-12-31,131964.12119109428,58392.55782734127,235786.90764648546,42460.27271245872,153468.85554295633,158278.78125,136166.20310281828,Wednesday
2026-01-01,138953.10023198504,62810.60468387911,241137.51376202298,157254.03038769544,139276.20477516315,132401.8125,135558.54672868553,Thursday
2026-01-02,133005.69433483933,54169.654847870544,234789.73095333367,118797.33672670444,138444.18353057897,116001.546875,147356.17492696835,Friday
2026-01-03,35530.93070044858,15942.780263070388,125893.97777305281,129044.411297729,29631.30040233651,10903.5546875,17258.72923808601,Saturday
