date,predicted_sales,lower_ci,upper_ci
2025-12-05,162357.01722855854,38936.824228380254,285777.21022873686
2025-12-06,30526.11771262442,0.0,157776.94405336547
2025-12-07,67068.31289610978,0.0,197031.0510648552
2025-12-08,162418.5019256258,29844.236459645064,294992.7673916066
2025-12-09,126314.92393320063,0.0,261448.0841727331
2025-12-10,140427.1643024873,2782.7781082519796,278071.55049672263
2025-12-11,176061.26030061152,35950.655186134914,316171.86541508813
2025-12-12,161270.90327396698,15508.825000421115,307032.9815475128
2025-12-13,31165.993551909512,0.0,179921.7186844369
2025-12-14,67819.43155538976,0.0,219408.81268706644
2025-12-15,162977.41421228263,8611.246364569262,317343.58205999597
2025-12-16,126941.90522840981,0.0,284035.5485630205
2025-12-17,140929.97594851707,0.0,300704.5299219495
2025-12-18,176490.76219233221,14079.545718449983,338901.97866621445
2025-12-19,161811.49782117349,0.0,329741.3560176407
2025-12-20,31714.019993702128,0.0,202769.0811542852
2025-12-21,68367.93699473512,0.0,242398.89135423175
2025-12-22,163525.092035312,0.0,340477.3971053129
2025-12-23,127489.87614797652,0.0,307315.8603009046
2025-12-24,141477.41220928714,0.0,324131.8591240169
2025-12-25,177037.88279057702,0.0,362477.65518446156
2025-12-26,162359.09677033487,0.0,353315.6510356009
2025-12-27,32261.65094366115,0.0,226475.67449592747
2025-12-28,68915.570007197,0.0,266243.7955585861
2025-12-29,164072.72148416276,0.0,364462.42585261917
2025-12-30,128037.50685886387,0.0,331442.40523027966
2025-12-31,136166.20310281828,0.0,342542.2372987239
2026-01-01,135558.54672868553,0.0,344863.54449191387
2026-01-02,147356.17492696835,0.0,362193.7576140744
2026-01-03,17258.72923808601,0.0,235482.6241092592
